,City,Cloudness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
34,Picsi,75,PE,1547344800,88,-6.72,-79.77,73.4,12.75
35,Albany,75,US,1547347920,46,42.65,-73.75,17.96,5.82
36,Marzuq,0,YE,1547349148,76,14.4,46.47,36.54,1.52
37,Bluff,0,AU,1547348599,42,-23.58,149.07,91.98,10.92
38,Airai,12,TL,1547348791,51,-8.93,125.41,87.93,1.97
39,Ucluelet,92,CA,1547348797,96,48.94,-125.55,45.54,2.08
40,Ribeira Grande,32,PT,1547348697,97,38.52,-28.7,62.01,21.39
41,Fernie,90,CA,1547348400,92,49.5,-115.06,30.2,2.24
42,Formosa,40,AR,1547344800,88,-26.19,-58.17,78.8,4.7
43,Khatanga,64,RU,1547348706,49,71.98,102.47,-29.53,7.11
44,Ukiah,20,US,1547344560,79,39.15,-123.21,51.08,3.36
45,Puerto Ayora,20,EC,1547348677,99,-0.74,-90.35,76.68,10.54
46,Elko,90,US,1547348160,88,40.83,-115.76,19.94,2.75
47,Hobart,0,AU,1547346600,35,-42.88,147.33,69.8,12.75
48,Tasiilaq,36,GL,1547344200,67,65.61,-37.64,17.6,6.93
49,Cape Canaveral,1,US,1547347980,83,28.41,-80.6,62.96,10.58
50,Victoria,75,BN,1547346600,74,5.28,115.24,87.8,4.7
51,Butaritari,56,KI,1547348728,100,3.07,172.79,82.98,7.56
52,Norman Wells,40,CA,1547344800,73,65.28,-126.83,-34.61,5.82
53,Kapaa,1,US,1547344560,66,22.08,-159.32,78.98,8.05
54,Chuy,88,UY,1547348760,90,-33.69,-53.46,70.2,12.03
55,San Rafael,56,AR,1547349157,41,-34.61,-68.33,63.36,5.21
56,Port Alfred,32,ZA,1547348722,92,-33.59,26.89,67.41,7.74
57,Lebu,0,ET,1547349051,53,8.96,38.73,30.06,2.98
58,Rikitea,80,PF,1547348592,99,-23.12,-134.97,79.29,13.6
59,Casablanca,20,MA,1547346600,93,33.6,-7.62,42.8,5.82
60,Juruti,12,BR,1547349158,88,-2.16,-56.09,76.14,2.3
61,Marsabit,0,KE,1547349158,42,2.34,37.99,63.99,7.0
62,Kodiak,90,US,1547346900,92,39.95,-94.76,30.92,14.99
63,Northam,92,GB,1547344200,87,51.04,-4.21,50.0,18.34
64,Sobolevo,88,RU,1547349034,91,54.43,31.9,26.28,8.34
65,Hermanus,32,ZA,1547348742,81,-34.42,19.24,57.69,9.42
66,Cascais,0,PT,1547346600,86,38.7,-9.42,41.0,4.7
67,Narsaq,80,GL,1547347800,84,60.91,-46.05,32.0,8.05
68,Meulaboh,56,ID,1547348837,100,4.14,96.13,79.56,4.5
69,Kalutara,20,LK,1547345400,88,6.58,79.96,75.2,10.29
70,Bubaque,8,GW,1547348954,100,11.28,-15.83,77.49,11.25
71,North Platte,90,US,1547347980,92,41.12,-100.77,24.98,5.5
72,Hilo,40,US,1547344380,64,19.71,-155.08,77.0,12.75
73,Qeshm,0,IR,1547348400,50,26.96,56.27,55.4,2.24
74,Aklavik,20,CA,1547344800,66,68.22,-135.01,-31.01,9.35
75,Yovon,0,TJ,1547348400,63,38.32,69.05,30.2,4.47
76,Trinidad,0,UY,1547348715,84,-33.52,-56.9,66.51,9.35
77,Yellowknife,20,CA,1547344800,69,62.45,-114.38,-11.21,10.29
78,San Mateo del Mar,0,MX,1547349162,92,16.21,-94.98,79.56,22.17
79,Cape Town,40,ZA,1547344800,93,-33.93,18.42,62.6,8.05
80,Ushuaia,75,AR,1547344800,75,-54.81,-68.31,42.8,32.21
81,Castro,75,CL,1547344800,87,-42.48,-73.76,44.6,3.36
82,Havre-Saint-Pierre,90,CA,1547344800,72,50.23,-63.6,17.6,11.41
83,Dehui,75,CN,1547344800,79,44.53,125.71,24.8,4.47
84,Port Hardy,90,CA,1547344800,87,50.7,-127.42,46.4,20.8
85,Lorengau,76,PG,1547348724,99,-2.02,147.27,83.43,13.44
86,Jamestown,0,AU,1547348585,25,-33.21,138.6,89.46,9.24
87,Karratha,8,AU,1547349066,15,-20.74,116.85,108.54,10.54
88,Kathu,0,ZA,1547349164,55,-27.7,23.05,57.96,4.88
89,Beloha,80,MG,1547349164,94,-25.17,45.06,72.63,3.71
90,Mahebourg,40,MU,1547344800,78,-20.41,57.7,78.8,11.41
91,Lixourion,0,GR,1547349166,100,38.2,20.43,51.75,13.67
92,Guaraciaba do Norte,88,BR,1547349166,99,-4.16,-40.75,70.38,2.75
93,Mar del Plata,0,AR,1547348724,48,-46.43,-67.52,55.98,5.99
94,Pisco,0,PE,1547344800,88,-13.71,-76.2,71.6,19.46
95,Miles City,1,US,1547347980,88,46.41,-105.84,28.94,5.82
96,Cairns,40,AU,1547346600,62,-16.92,145.77,86.0,14.99
97,Leningradskiy,20,RU,1547349052,100,69.38,178.42,-17.65,8.63
98,Cururupu,56,BR,1547349167,98,-1.82,-44.87,74.16,4.09
99,Faanui,92,PF,1547348783,100,-16.48,-151.75,82.44,22.32
100,Belaya Gora,48,RU,1547349168,0,68.54,146.19,-39.61,3.38
101,Leiva,92,CO,1547349168,97,1.94,-77.3,64.62,2.26
102,Bethel,75,US,1547346480,82,60.79,-161.76,-4.01,20.8
103,Cherskiy,44,RU,1547348751,52,68.75,161.3,-17.65,1.81
104,Terrace Bay,0,CA,1547349169,100,48.78,-87.1,13.68,6.78
105,Loknya,80,RU,1547349169,83,54.21,39.24,15.39,10.36
106,Beziers,75,FR,1547346600,65,43.35,3.22,48.2,14.99
107,Dudinka,68,RU,1547348724,57,69.41,86.18,-19.63,29.21
108,Kichera,44,RU,1547349170,73,55.93,110.1,-8.38,2.19
109,Kieta,80,PG,1547349147,89,-6.22,155.63,84.51,3.76
110,Babati,0,TZ,1547349171,95,-4.21,35.75,57.42,2.86
111,Taltal,0,CL,1547349039,98,-25.41,-70.49,53.46,1.81
112,Saint-Philippe,1,CA,1547346900,86,45.36,-73.48,5.0,2.98
113,Jacareacanga,8,BR,1547348709,79,-6.22,-57.76,78.3,3.31
114,Belturbet,92,GB,1547349171,92,54.1,-7.44,46.98,20.54
115,Alofi,48,NU,1547344800,70,-19.06,-169.92,84.2,13.87
116,Kitoy,75,RU,1547348400,77,52.6,103.9,5.0,13.42
117,Norwich,68,GB,1547348160,81,52.63,1.29,51.8,19.46
118,Peniche,0,PT,1547346600,86,39.36,-9.38,41.0,4.7
119,Katsuura,40,JP,1547344800,66,33.93,134.5,48.2,11.41
120,Sao Filipe,20,CV,1547349149,100,14.9,-24.5,71.28,9.08
121,Mehamn,80,NO,1547348774,87,71.03,27.85,30.33,11.1
122,Saint George,20,GR,1547347800,80,39.45,22.34,33.8,5.82
123,Orhei,90,MD,1547348400,74,47.39,28.83,28.4,8.05
124,Cape Coast,32,GH,1547349174,91,5.11,-1.24,73.89,2.71
125,Torbay,90,CA,1547347380,86,47.66,-52.73,28.4,17.22
126,Pangkalanbuun,20,ID,1547348773,90,-2.68,111.62,84.69,5.84
127,Lao Cai,56,VN,1547349109,97,22.48,103.95,60.12,0.81
128,Khomutovo,80,RU,1547349175,84,52.85,37.45,17.82,11.92
129,Gondar,0,PT,1547346600,86,41.82,-8.78,39.2,4.7
130,Arraial do Cabo,0,BR,1547348691,90,-22.97,-42.02,76.5,13.27
131,Hualmay,0,PE,1547349084,95,-11.1,-77.61,64.62,6.29
132,Vestmanna,92,FO,1547347800,100,62.16,-7.17,41.0,13.87
133,Namibe,0,AO,1547349076,100,-15.19,12.15,72.63,8.75
134,Arman,36,RU,1547349177,64,59.7,150.17,2.79,3.6
135,Tefe,24,BR,1547348893,76,-3.35,-64.71,79.2,5.32
136,Nogliki,44,RU,1547348732,100,51.8,143.14,10.71,13.6
137,Bambous Virieux,40,MU,1547344800,78,-20.34,57.76,78.8,11.41
138,Erenhot,0,CN,1547349178,58,43.65,111.97,11.34,4.88
139,Tuskegee,90,US,1547348160,93,32.42,-85.69,62.06,4.7
140,Saint-Francois,90,FR,1547346600,93,46.42,3.91,42.8,9.17
141,Jiaohe,12,CN,1547349181,61,43.72,127.34,27.99,3.6
142,Coihaique,0,CL,1547344800,57,-45.58,-72.07,50.0,5.82
143,Dikson,76,RU,1547348731,100,73.51,80.55,-14.86,31.9
144,San Patricio,8,PY,1547348701,95,-26.98,-56.83,74.88,3.87
145,Panorama,24,BR,1547349182,79,-21.35,-51.86,73.8,2.19
146,Vangaindrano,100,MG,1547349183,100,-23.35,47.6,71.55,2.75
147,Lagoa,0,PT,1547346600,65,37.14,-8.45,44.6,9.17
148,Challapata,8,BO,1547348898,89,-18.9,-66.78,34.74,2.86
149,Sinnamary,56,GF,1547348758,95,5.38,-52.96,78.57,10.36
150,Basco,90,US,1547348100,95,40.33,-91.2,30.2,19.46
151,Batavia,75,US,1547348040,73,43.0,-78.19,23.0,9.17
152,Namatanai,88,PG,1547349026,100,-3.66,152.44,82.89,17.47
153,Tiksi,24,RU,1547348709,48,71.64,128.87,-29.44,3.83
154,Klaksvik,92,FO,1547346000,93,62.23,-6.59,42.8,12.75
155,Harbour Breton,64,CA,1547349185,100,47.48,-55.8,26.37,18.7
156,Husavik,80,CA,1547348989,93,50.56,-96.99,18.63,10.65
157,Hosakote,0,IN,1547349186,76,16.06,75.46,63.18,10.09
158,Halifax,90,CA,1547344800,85,44.65,-63.58,12.2,10.29
159,Halvad,0,IN,1547349187,86,23.02,71.18,54.09,2.86
160,Codrington,40,AU,1547344800,43,-28.95,153.24,89.6,8.05
161,Saldanha,0,PT,1547348915,79,41.42,-6.55,18.81,3.09
162,Novyy Urengoy,76,RU,1547348595,74,66.08,76.63,-2.98,21.32
163,Luebo,92,CD,1547349188,100,-5.35,21.42,68.58,2.98
164,Kaniv,56,UA,1547349188,94,49.76,31.46,26.01,9.86
165,Nikolskoye,75,RU,1547346600,92,59.7,30.79,19.4,6.71
166,Molochnoye,44,UA,1547349189,94,44.91,34.04,27.99,2.98
167,Ponta Delgada,75,PT,1547346600,77,37.73,-25.67,59.0,9.17
168,Shiraz,0,IR,1547348400,59,29.61,52.54,33.8,2.19
169,East London,88,ZA,1547348932,99,-33.02,27.91,72.81,7.07
170,Cabo San Lucas,20,MX,1547344440,83,22.89,-109.91,69.8,3.36
171,Aragarcas,36,BR,1547349047,92,-15.9,-52.25,69.39,2.98
172,Portland,1,US,1547347980,73,45.52,-122.67,46.04,8.05
173,Camacha,40,PT,1547346600,67,33.08,-16.33,62.6,18.34
174,Dhidhdhoo,0,MV,1547349191,100,6.88,73.1,81.72,7.9
175,Qaanaaq,0,GL,1547348678,66,77.48,-69.36,-22.87,10.92
176,Vila Velha,40,BR,1547344800,83,-3.71,-38.6,80.6,3.36
177,Kurilsk,36,RU,1547349191,100,45.23,147.88,29.79,18.52
178,Yanam,20,IN,1547346600,94,16.73,82.22,68.0,4.7
179,Vostok,0,RU,1547348690,64,46.45,135.83,16.29,3.04
180,Luoyang,8,CN,1547349192,62,34.66,112.42,38.7,2.98
181,Severo-Kurilsk,80,RU,1547348778,95,50.68,156.12,33.3,17.36
182,Avera,90,US,1547348100,78,33.19,-82.53,51.8,4.7
183,Kahului,75,US,1547345340,62,20.89,-156.47,80.06,12.75
184,Ous,24,RU,1547349193,79,60.91,61.52,10.44,6.62
185,Santa Maria,75,BR,1547344800,94,-29.69,-53.81,73.4,4.7
186,Torzhok,76,RU,1547349195,87,57.04,34.97,22.68,8.23
187,Xining,8,CN,1547349074,50,36.62,101.77,16.02,3.04
188,Tezu,0,IN,1547348959,44,27.93,96.16,57.15,1.59
189,Skibbereen,75,IE,1547348400,87,51.55,-9.27,46.4,5.82
190,Agadir,0,MA,1547346600,87,30.42,-9.58,42.8,6.93
191,Caravelas,76,BR,1547348944,100,-17.73,-39.27,80.19,12.33
192,Dezhou,0,CN,1547349197,47,37.45,116.31,42.39,4.54
193,Rocha,0,UY,1547349197,90,-34.48,-54.34,64.71,8.23
194,Georgetown,75,GY,1547344800,83,6.8,-58.16,78.8,13.87
195,Aykhal,24,RU,1547349197,47,65.95,111.51,-30.25,2.86
196,Pinawa,76,CA,1547348935,80,50.15,-95.88,15.39,10.92
197,Malanje,88,AO,1547348908,78,-9.54,16.35,66.51,7.52
198,Mosquera,75,CO,1547344800,87,4.71,-74.23,53.6,4.7
199,Chara,20,GR,1547347800,80,39.42,22.43,33.8,5.82
200,San Cristobal,20,EC,1547348400,100,-0.39,-78.55,55.4,4.7
201,College,1,US,1547344680,72,64.86,-147.8,-5.98,4.32
202,Bonthe,44,SL,1547349199,83,7.53,-12.5,79.92,5.55
203,Bogande,0,BF,1547349199,45,12.97,-0.14,57.51,3.76
204,Morgan City,1,US,1547346900,100,29.7,-91.21,57.2,3.36
205,Berlevag,88,NO,1547349199,100,70.86,29.09,27.72,4.09
206,Alamosa,90,US,1547348100,84,37.47,-105.87,24.98,3.36
207,Kruisfontein,0,ZA,1547348827,92,-34.0,24.73,60.66,6.89
208,Saint-Pierre,92,FR,1547346600,100,48.95,4.24,44.6,13.87
209,Tuatapere,8,NZ,1547349047,86,-46.13,167.69,58.68,10.87
210,Rawson,0,AR,1547349072,51,-43.3,-65.11,60.48,10.8
211,San Andres,24,PH,1547349022,96,13.32,122.68,80.64,19.64
212,Hobyo,88,SO,1547348802,79,5.35,48.53,76.41,18.14
213,Pevek,0,RU,1547348808,71,69.7,170.27,-23.68,4.72
214,Samarai,24,PG,1547348776,100,-10.62,150.67,82.71,14.05
215,Patan,20,NP,1547346000,93,27.67,85.33,41.0,2.24
216,Faya,0,SA,1547348400,87,18.39,42.45,53.6,9.17
217,Tenango,75,MX,1547347380,63,20.53,-100.67,60.8,11.41
218,Cap-aux-Meules,90,CA,1547344800,85,47.38,-61.86,19.4,19.46
219,Shingu,20,JP,1547344800,100,33.72,135.99,53.6,12.75
220,Gizo,0,IL,1547348400,54,31.8,34.94,53.6,6.93
221,Jinchang,0,CN,1547349203,58,38.52,102.19,12.6,2.08
222,Bugene,48,TZ,1547349203,90,-1.59,31.14,60.39,2.3
223,Dire Dawa,0,ET,1547349204,75,9.59,41.86,38.97,3.09
224,Nara,20,JP,1547346600,57,34.68,135.8,48.2,6.93
225,Ribas do Rio Pardo,24,BR,1547349204,75,-20.45,-53.76,76.32,3.2
226,Thompson,90,CA,1547344800,85,55.74,-97.86,14.0,11.41
227,Veraval,90,FR,1547346600,93,49.65,0.71,50.0,12.75
228,Port Elgin,90,CA,1547344800,84,44.44,-81.39,5.0,5.82
229,Eureka,40,US,1547346900,100,40.8,-124.16,53.6,4.7
230,Nemuro,20,JP,1547344800,57,43.32,145.57,23.0,20.6
231,Ha Tinh,92,VN,1547348916,100,18.33,105.9,72.09,2.26
232,Clyde River,1,CA,1547344800,73,70.47,-68.59,-34.61,4.7
233,Gat,0,SN,1547346600,88,14.69,-16.54,68.0,13.87
234,Port Elizabeth,90,US,1547348040,74,39.31,-74.98,33.08,3.36
235,New Norfolk,0,AU,1547346600,35,-42.78,147.06,69.8,12.75
236,Austin,1,US,1547347980,70,30.27,-97.74,48.02,5.82
237,Outram,64,NZ,1547349207,94,-45.86,170.23,59.76,4.72
238,Abrau-Dyurso,88,RU,1547346600,99,44.7,37.6,37.4,11.18
239,Opuwo,0,NA,1547348723,53,-18.06,13.84,52.65,3.27
240,Waipawa,92,NZ,1547348721,92,-39.94,176.59,66.78,2.98
241,Soyo,48,AO,1547349208,97,-6.13,12.37,75.33,3.38
242,Poum,0,MK,1547348573,55,41.28,20.71,0.72,1.36
243,Tabou,12,CI,1547349208,100,4.42,-7.36,82.26,6.11
244,Luderitz,12,NA,1547348570,90,-26.65,15.16,59.85,4.76
245,Tateyama,75,JP,1547344800,56,36.66,137.31,44.6,3.36
246,Letlhakeng,24,BW,1547349209,82,-24.1,25.03,69.12,1.59
247,Namwala,92,ZM,1547348936,96,-15.75,26.45,68.85,4.21
248,Turan,0,RU,1547349209,25,52.15,93.92,-19.99,1.7
249,Omsukchan,56,RU,1547349210,77,62.53,155.8,-9.19,3.31
250,Roxana,90,US,1547347980,100,38.85,-90.08,33.98,13.87
251,Lasa,90,CY,1547346600,66,34.92,32.53,55.4,11.41
252,Talnakh,68,RU,1547348736,46,69.49,88.39,-28.99,14.05
253,Luba,0,PH,1547349211,62,17.32,120.7,79.11,3.53
254,Benjamin Aceval,0,PY,1547344800,74,-24.97,-57.57,82.4,4.7
255,Castilho,44,BR,1547348961,70,-20.87,-51.49,78.03,2.37
256,Port Lincoln,0,AU,1547348694,69,-34.72,135.86,73.98,14.61
257,Ahipara,68,NZ,1547349088,69,-35.17,173.16,73.35,10.36
258,Touros,76,BR,1547348717,100,-5.2,-35.46,74.07,3.71
259,Erdenet,12,MN,1547349212,45,49.03,104.04,-3.79,6.22
260,Souillac,90,FR,1547346600,93,45.6,-0.6,48.2,5.82
261,Dilla,0,ET,1547349212,46,6.41,38.31,39.33,4.5
262,Amurzet,88,CN,1547349213,70,47.69,131.09,7.29,5.88
263,Vostochnyy,90,RU,1547346600,92,55.82,37.87,17.6,8.95
264,La Ronge,75,CA,1547344800,79,55.1,-105.3,19.4,5.82
265,Mahibadhoo,8,MV,1547348816,100,3.78,72.97,81.99,12.93
266,Hokota,20,JP,1547346600,82,36.26,140.53,50.0,13.87
267,Bulgan,0,MN,1547348739,46,48.81,103.53,7.74,11.81
268,Sassandra,8,CI,1547348784,100,4.95,-6.09,81.9,8.34
269,Asha,92,RU,1547349214,80,54.99,57.29,29.34,12.77
270,Kihei,75,US,1547345340,62,20.76,-156.45,80.06,12.75
271,Myanaung,44,MM,1547349215,73,18.28,95.32,77.13,9.8
272,Carutapera,92,BR,1547349215,96,-1.2,-46.02,76.59,6.73
273,Qaqortoq,92,GL,1547347800,96,60.72,-46.03,32.0,8.05
274,Poronaysk,0,RU,1547348775,68,49.22,143.1,11.61,4.99
275,Flin Flon,64,CA,1547348700,83,54.77,-101.88,14.04,5.32
276,Okhotsk,0,RU,1547348925,100,59.36,143.24,-2.53,9.08
277,Dustlik,0,UZ,1547349216,82,40.53,68.03,29.34,10.42
278,Kavieng,48,PG,1547348801,100,-2.57,150.8,82.98,11.77
279,Smithers,90,CA,1547344920,100,54.78,-127.17,33.8,2.24
280,Lazaro Cardenas,5,MX,1547347560,76,28.39,-105.62,46.4,3.36
281,Japura,88,ID,1547348948,82,-0.42,102.29,80.91,2.37
282,Tuktoyaktuk,20,CA,1547344800,73,69.44,-133.03,-31.01,10.29
283,Sakata,75,JP,1547344800,69,38.92,139.93,39.2,1.12
284,Amahai,0,ID,1547349218,100,-3.31,129.0,84.69,9.01
285,Guerande,90,FR,1547346600,93,48.47,-4.17,50.0,10.29
286,Santa Cruz del Sur,0,CU,1547349218,74,20.71,-78.0,71.82,10.76
287,Olinda,75,EC,1547344800,78,-2.03,-79.75,80.6,5.82
288,Provideniya,8,RU,1547348752,100,64.42,-173.23,-9.91,20.2
289,Auki,0,NG,1547349219,39,12.18,6.51,59.94,7.4
290,Sosnovo-Ozerskoye,32,RU,1547348765,65,52.53,111.54,-10.9,3.2
291,Salalah,0,OM,1547344200,33,17.01,54.1,71.6,8.05
292,Ostrovnoy,64,RU,1547348758,90,68.05,39.51,20.34,10.76
293,Guaruja,20,BR,1547344800,78,-23.99,-46.26,71.6,6.93
294,Warkworth,88,NZ,1547346600,78,-36.4,174.66,73.4,13.87
295,Wamba,64,CD,1547349221,79,2.14,27.99,70.65,2.04
296,Mackenzie,90,CA,1547344800,93,55.34,-123.09,35.6,3.36
297,Watrous,0,CA,1547349221,53,51.67,-105.46,6.3,2.86
298,Chapais,90,CA,1547344800,77,49.78,-74.86,-2.21,6.93
299,Freeport,92,BS,1547348806,99,26.54,-78.7,75.78,9.91
300,Los Llanos de Aridane,0,ES,1547346600,72,28.66,-17.92,59.0,8.05
301,Mogadishu,68,SO,1547349222,100,2.04,45.34,78.93,22.32
302,Nuuk,75,GL,1547347800,85,64.17,-51.74,24.8,2.24
303,Isangel,64,VU,1547348728,100,-19.55,169.27,79.38,4.76
304,Abaza,0,RU,1547349223,36,52.65,90.1,-11.8,2.37
305,Kununurra,12,AU,1547346600,62,-15.77,128.74,87.8,2.24
306,Cidreira,64,BR,1547348748,90,-30.17,-50.22,73.62,13.94
307,Alta Floresta,88,BR,1547349224,94,-9.87,-56.08,74.97,2.04
308,Grivenskaya,68,RU,1547349224,96,45.65,38.16,30.6,2.98
309,Rizhao,0,CN,1547349108,62,35.43,119.46,44.28,4.88
310,Bathsheba,40,BB,1547344800,69,13.22,-59.52,77.0,12.75
311,Diamantino,32,BR,1547348725,91,-14.4,-56.44,71.82,2.53
312,Jackson,90,US,1547348160,100,35.61,-88.82,50.0,4.7
313,Egvekinot,12,RU,1547348817,0,66.32,-179.17,-39.34,4.61
314,Mangaldai,20,IN,1547346600,100,26.43,92.03,57.2,6.11
315,La Palma,92,CO,1547349226,79,5.36,-74.39,69.39,1.48
316,Sao Sebastiao,32,BR,1547349227,97,-3.15,-58.36,74.52,2.86
317,Gushikawa,75,JP,1547346600,52,26.35,127.87,69.8,17.22
318,Lahaina,90,US,1547345340,64,20.87,-156.68,80.06,10.29
319,Miri,8,NG,1547349228,55,10.31,9.75,57.42,4.61
320,Fomboni,56,KM,1547349228,100,-12.28,43.74,83.43,11.92
321,Tooele,90,US,1547348160,86,40.53,-112.3,30.2,4.7
322,Vanimo,48,PG,1547348701,100,-2.67,141.3,82.8,17.13
323,Barinitas,0,VE,1547349228,85,8.76,-70.41,63.18,2.37
324,Padang,20,ID,1547346600,74,-0.92,100.36,84.2,3.36
325,Pori,48,FI,1547347800,92,61.49,21.79,21.2,3.36
326,Laredo,1,US,1547348160,51,27.51,-99.51,62.6,6.93
327,Poole,44,GB,1547344200,93,50.72,-1.98,50.0,16.11
328,Naze,12,NG,1547348932,88,5.43,7.07,72.0,6.62
329,Agadez,8,NE,1547349230,45,16.97,7.99,53.1,1.36
330,Toledo,75,PH,1547344800,83,10.38,123.64,80.6,6.93
331,Saint-Junien,90,FR,1547346600,100,45.89,0.9,46.4,8.05
332,Aguilas,0,ES,1547349231,100,37.41,-1.58,41.94,4.99
333,Etaples,90,FR,1547347800,81,50.52,1.63,50.0,10.29
334,High Level,20,CA,1547348400,84,58.52,-117.13,6.8,10.29
335,Puntarenas,0,CR,1547348400,60,9.98,-84.84,69.8,17.22
336,Baykit,0,RU,1547349233,0,61.68,96.39,-35.47,3.04
337,Longyearbyen,20,NO,1547344200,55,78.22,15.63,6.8,14.99
338,Maralal,0,KE,1547349233,79,1.1,36.7,47.61,2.75
339,Sun City West,90,US,1547348040,42,33.66,-112.34,62.96,3.36
340,Natal,40,BR,1547344800,78,-5.81,-35.21,78.8,3.36
341,Zambezi,88,ZM,1547349234,96,-13.55,23.12,65.16,9.01
342,Rio do Sul,92,BR,1547349235,99,-27.22,-49.64,70.38,3.49
343,Turayf,0,SA,1547348400,81,31.68,38.65,42.8,9.17
344,Nanortalik,92,GL,1547348881,94,60.14,-45.24,30.06,20.38
345,Jiuquan,12,CN,1547349236,66,39.73,98.49,5.04,1.59
346,Kloulklubed,75,PW,1547344200,78,7.04,134.26,82.4,16.11
347,Vikhorevka,75,RU,1547346600,69,56.12,101.17,-9.41,13.42
348,Tevriz,80,RU,1547348841,82,57.51,72.4,6.12,9.86
349,Bridgetown,90,CA,1547344800,85,44.84,-65.29,14.0,10.29
350,Ilulissat,40,GL,1547344200,43,69.22,-51.1,-7.61,4.7
351,Lata,92,IN,1547348708,100,30.78,78.62,32.04,1.59
352,Beian,75,NO,1547347800,100,63.66,9.57,33.8,19.46
353,Ozark,90,US,1547347500,99,37.02,-93.21,33.08,13.87
354,Bhakkar,92,PK,1547349238,93,31.63,71.07,46.08,4.21
355,Kangaatsiaq,76,GL,1547349052,100,68.31,-53.46,4.05,8.57
356,Sioux Lookout,90,CA,1547344800,85,50.1,-91.92,17.6,5.82
357,Broome,80,GB,1547348160,81,52.47,1.45,51.8,19.46
358,Puerto Leguizamo,36,CO,1547349209,95,-0.19,-74.78,73.8,2.3
359,Glenwood Springs,1,US,1547348160,87,39.55,-107.33,23.0,3.36
360,Hibbing,90,US,1547348100,91,47.43,-92.94,25.34,6.93
361,Chicama,40,PE,1547344800,88,-7.84,-79.15,73.4,10.29
362,Cartagena del Chaira,76,CO,1547349242,99,1.33,-74.84,72.27,0.96
363,Bianzhuang,0,CN,1547349242,51,39.44,112.12,18.99,3.98
364,Antofagasta,20,CL,1547344800,82,-23.65,-70.4,64.4,9.17
365,Ust-Omchug,68,RU,1547349243,52,61.13,149.63,-19.72,3.27
366,Ghatampur,0,IN,1547349243,83,26.16,80.17,53.55,4.09
367,Harnosand,56,SE,1547347800,92,62.63,17.94,17.6,2.24
368,Saint-Joseph,0,FR,1547348400,74,43.56,6.97,48.2,4.7
369,Puerto Colombia,40,CO,1547344800,78,10.99,-74.96,78.8,18.34
370,Lerwick,92,GB,1547347800,93,60.15,-1.15,48.2,25.28
371,Tsiroanomandidy,24,MG,1547349245,94,-18.77,46.05,62.46,2.82
372,Coquimbo,20,CL,1547344800,87,-29.95,-71.34,60.8,6.93
373,Chaoyang,0,CN,1547349245,33,41.58,120.44,26.64,10.36
